ACQUATOTTA
ANGILECCHIA
ANGIULINU PALLINU
ANGIULETTU PIPPINONI
ANTIMULLARGA
ANTIMU LA MASCHERA
BATTISCAGGHI
BAVILLA
BECCUTILEGNU
BISSINESI
BONAFEDE
BOTTU VECCHIU
BUTTIGLIONI
BUSCIARDU
BUSCIAROTTA
BUSCIONI
BUBÙ
BASILEA
CACCHIONI
CAFFARONI
CAGGHIONI
CALAMITA 
CALACIONI
CALIMERO
CAMPIOTO
CANDILERA
CANIMAZZU
CANTONIERI
CAPICEDDU
CAPPIDDUZZU
CAPASONI
CAPISOTTA
CARRETTA
CARRISSTA
CARMELUTILANNITINOVULI
CARMINUCCIU
CARISCIOLA
CASSTARIEDDU
CATAPANNA
CAVADDU VECCHIU
CENTU SURGI
CICIARELLA
CICI TI LI CURTU
CICI TI LA CUNTINA IERTA
CICCIU ERAPARU
CIGGHIESI
CIMALURU
CIOCCIA
CIPUDDE
COCA PIRTI
COCA SURGIARA
COCU SUENNU
COCUTI LOMU
CONTESSINA
CUAREMMA
CUNIGGHIU
CURCIULU
CURNACCHIEDDA
CURNUTIEDDU
CHIANGI-CHIANGI
CHICCHITTINU
CHICCU TI LA MMACULATA
CHIMBONI
CRIMINTINA
CHILLULÁ
DORMENTU
ERVIRA SURGIARA
FACCHIAGGHIARI
FANATICU
FIGGHIUMARONZU
FIORENDINA
FURGULONI
FURNARU
FUCHISTA
FURNARIEDDU
FRANGISCONI
FRANGISCU TERCHI
GECI CACIU
GIACCHETTA
GIARDINA CIGGHIESI
GHIATORA MONICA 
GINA TI LU FURNU
GINGERA
GIRAFRISCU
IONZULONGU
ITAPPOPPITA
LA CRAPA
L'AVVOCATU
LIGGIA-LIGGIA
LUIGI TI LACHITA
MACCARUNARU
MAGNAMIA
MAMMA SANTA
MAMMARA
MAMOLETTA
MANGIANTRAMI
MAU-MAU
MANU GIALLA
MANU VELOCI
MARIA SARTORI
MARIA 28
MARIANNINA
MARESCIALLO
MARIUCCIA ZOPPA
MAROCCHINU
MAURELLA
MASSARA PIPPINA 
MERICANU
MESCEMILIU
MESCIU CARMELU
MESCIUETTURI
MESCIU LUICI
MESCIU PEPPU
MESCIU SANTU
MAMINA TI LU POTI
MICCHIU
MINICHICCHIU
MINICU PIETTUTISU
MINICONI
MIMINU TI LU POTI
MIMINU LA MAMMA
MUSCIU RIESSTU
NASONE
NDINUTI LU SSTEFANU
NDINUTI LU FURNU
NINA SPINNATA 
NINU BALLA
NINU ISCI
NINU MARIANNINA 
NINU TI LALBA
NICULINU TI LANUCENTI
NTONICEDDU
NTUNIETTA FUTTIZZA 
NTUNIETTA TI LA CERTRUTI
NEGUS
NTUNUCCIU LAUARDIA
NZINU MUSCIA
NZINU PIRTI
NZINU SCARPARU
OMICEDDU
PACCIODDA
PARELLI
PAPARABELLA 
PAPILUCCIU
PAPOCCHIA
PASULU
PETONELLA 
PEPPU FITUSU
PICI BOBBI
PICI TI CUPIRTINU
PICI MURETTU
PICUEZZU
PICURIEDDU
PIDDECCHIA
PIETI LONGA
PICI TI LA GIACUMINA
PIGNATARU
PILIRUSSU
PINU ITANA
PIPPI PALLINU
PIPPI SURGIARU
PIPPINU TI LUNDREA
PIPPINU TI LA SETTIMA 
PIPPIPESCI
PIPPI TI MESCIU TUNATU
PIPPI TRACIGNA 
PISTOLA FACILE
PISCIAIUELU
PIPPI TI LA MARIANGELA
PIRIPICCHIU
PITTINNU
PIZZUTIEDDU
PPINU MECU
POPOF
POPI-POPI
PUERCU RIESSTU
PURCIDDONI
PURPITIEDDU
PURCIGNA
PRECAMUERTI
PREFETTU
PROFESSORE
QUAGLIAZZA
QUAREMMA
QUATTRU UECCHI
RE GIORGIO
RONDELLA
RONZA RICUREDDA
SARDALURU
SATTA-SATTA
SARABBIONE
SAVERAIA
SETTI CAPURI
SETTIRANI
SEVERINU TI CAMPI
SICCHETTU
SUMARRA
SURDATU
SURGIARU
SCAPIDDISCIATU
SCARPALIGGERA
SCARPAREDDA
SCARANCELLA
SCATTIDDA
SCARFAFAI
SCIROCCU
SCURSUNARU
SCHINZANESI
SCRASCIUDDU
SPINAZZA
STEFANIA
STACCHIODDA
TAPPATERA
TARTAGNAN
TATACHELE
TATATI LI FILI
TORI TI MESCIUETTURI
TORMENTO
TORICEDDU
TORI TI L'AFRICA
TOTÓ
TORI PEPPUTI VEGLIE
TOTÓ TI LAMASSARA PIPPINA
TUNATU LU PPOPPITU
TRICHECU
UCCETTU
UCCIU BOCSIERI
UCCIU BASCIONI
UCCIU TI LA TULORISI
UCCIU TI TURIROSSA
UARNAMINTARU
VINTOTTU
VITUCCIU LA CRAPA
VITUCCIU TI LA NUCENTI
ZZUVITU
ZZU COCU
JONNI
